Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_Difference,Mechanical_Power,Thermal_Load_Index,Torque_Speed_Interaction,Temperature_Ratio,Wear_Load_Index,Machine failure
L,300.6,309.4,1654,32.8,57,8.799999999999955,5681.1723789476855,49994.31693473937,54251.2,1.0292747837658016,1869.6,0
L,300.7,309.5,1508,39.9,59,8.800000000000011,6300.903889745833,55447.9542297634,60169.2,1.029265048220818,2354.1,0
M,300.7,309.6,1439,43.0,61,8.900000000000034,6479.744287539187,57669.72415909899,61877.0,1.0295976055869638,2623.0,0
L,300.7,309.5,1692,30.3,64,8.800000000000011,5368.730517572669,47244.82855463955,51267.6,1.029265048220818,1939.2,0
M,300.7,309.5,1838,24.9,66,8.800000000000011,4792.625256757372,42175.102259464926,45766.2,1.029265048220818,1643.3999999999999,0
L,300.6,309.3,1601,40.2,69,8.699999999999989,6739.784383452327,58636.12413603517,64360.200000000004,1.028942115768463,2773.8,0
L,300.6,309.4,1369,51.6,71,8.799999999999955,7397.445389554815,65097.519428082036,70640.40000000001,1.0292747837658016,3663.6,0
M,300.6,309.4,1312,45.2,73,8.799999999999955,6210.132806008112,54649.168692871106,59302.4,1.0292747837658016,3299.6000000000004,0
L,300.6,309.4,1468,44.1,76,8.799999999999955,6779.43128274063,59658.995288117236,64738.8,1.0292747837658016,3351.6,0
M,300.6,309.4,1452,39.4,78,8.799999999999955,5990.891526689592,52719.84543486813,57208.799999999996,1.0292747837658016,3073.2,0
M,300.7,309.5,1393,43.9,81,8.800000000000011,6403.895768906018,56354.282766373035,61152.7,1.029265048220818,3555.9,0
M,300.6,309.4,1432,44.2,84,8.799999999999955,6628.174068445794,58327.93180232268,63294.4,1.0292747837658016,3712.8,0
M,300.6,309.3,1510,46.0,87,8.699999999999989,7273.8341906115675,63282.357458320555,69460.0,1.028942115768463,4002.0,0
M,300.6,309.4,1521,37.2,90,8.799999999999955,5925.169408376493,52141.490793712874,56581.200000000004,1.0292747837658016,3348.0000000000005,0
H,300.5,309.4,1360,46.2,93,8.899999999999977,6579.751653678463,58559.789717738175,62832.00000000001,1.0296173044925123,4296.6,0
M,300.5,309.3,1881,25.5,98,8.800000000000011,5022.93541419204,44201.831644890015,47965.5,1.0292845257903493,2499.0,0
L,300.4,309.3,1413,50.3,101,8.900000000000034,7442.841403399186,66241.288490253,71073.9,1.0296271637816246,5080.299999999999,0
H,300.5,309.4,1642,36.2,103,8.899999999999977,6224.584132214625,55398.79877671002,59440.4,1.0296173044925123,3728.6000000000004,0
L,300.5,309.5,1542,38.5,108,9.0,6216.897702188841,55952.07931969957,59367.0,1.0299500831946755,4158.0,0
L,300.4,309.5,1447,39.3,110,9.100000000000023,5955.108786365204,54191.48995592349,56867.1,1.0302929427430094,4323.0,0
H,300.4,309.4,1530,40.4,112,9.0,6472.93750345641,58256.43753110769,61812.0,1.029960053262317,4524.8,0
L,300.5,309.5,1795,27.7,117,9.0,5206.823304182163,46861.40973763947,49721.5,1.0299500831946755,3240.9,0
L,300.6,309.6,1290,57.4,119,9.0,7754.078987590327,69786.71088831294,74046.0,1.029940119760479,6830.599999999999,0
L,300.6,309.7,1639,30.4,121,9.099999999999966,5217.72463069012,47481.29413927991,49825.6,1.0302727877578175,3678.3999999999996,0
L,300.7,309.8,1596,31.5,123,9.100000000000023,5264.680968885776,47908.59681686068,50274.0,1.0302627203192551,3874.5,0
L,300.6,309.8,1455,48.0,125,9.199999999999989,7313.627697557038,67285.37481752467,69840.0,1.0306054557551563,6000.0,0
M,300.6,309.8,1659,28.9,127,9.199999999999989,5020.799131187599,46191.35200692586,47945.1,1.0306054557551563,3670.2999999999997,0
M,300.6,309.8,1532,42.5,130,9.199999999999989,6818.303255841048,62728.38995373756,65110.0,1.0306054557551563,5525.0,0
L,300.6,309.8,1502,42.4,133,9.199999999999989,6669.056660844508,61355.3212797694,63684.799999999996,1.0306054557551563,5639.2,0
L,300.6,309.8,1688,28.6,135,9.199999999999989,5055.534673960791,46510.91900043922,48276.8,1.0306054557551563,3861.0,0
M,300.5,309.7,1341,50.9,137,9.199999999999989,7147.845853227104,65760.18184968928,68256.9,1.0306156405990017,6973.3,0
M,300.5,309.7,1685,29.4,140,9.199999999999989,5187.711948872825,47726.94992962993,49539.0,1.0306156405990017,4116.0,0
M,300.5,309.8,1370,55.9,143,9.300000000000011,8019.753006328904,74583.7029588589,76583.0,1.0309484193011647,7993.7,0
L,300.5,309.8,1461,52.5,146,9.300000000000011,8032.267017065704,74700.08325871114,76702.5,1.0309484193011647,7665.0,0
L,300.5,309.8,1550,37.4,148,9.300000000000011,6070.604204286677,56456.61909986616,57970.0,1.0309484193011647,5535.2,0
M,300.5,309.8,1508,37.8,150,9.300000000000011,5969.277369232894,55514.27953386598,57002.399999999994,1.0309484193011647,5670.0,0
L,300.5,309.8,1345,62.7,153,9.300000000000011,8831.174028873587,82129.91846852447,84331.5,1.0309484193011647,9593.1,0
L,300.5,309.7,1616,34.5,155,9.199999999999989,5838.335787431272,53712.68924436764,55752.0,1.0306156405990017,5347.5,0
L,300.5,309.7,1395,61.0,157,9.199999999999989,8911.12756190745,81982.37356954844,85095.0,1.0306156405990017,9577.0,0
H,300.5,309.8,1324,72.8,159,9.300000000000011,10093.64398066967,93870.88902022806,96387.2,1.0309484193011647,11575.199999999999,1
L,300.5,309.8,1445,43.9,164,9.300000000000011,6642.950025893178,61779.435240806626,63435.5,1.0309484193011647,7199.599999999999,0
M,300.5,309.8,1555,38.9,166,9.300000000000011,6334.44562731066,58910.34433398921,60489.5,1.0309484193011647,6457.4,0
M,300.6,309.9,1449,42.4,169,9.299999999999955,6433.73042713961,59833.69297239808,61437.6,1.0309381237524948,7165.599999999999,0
M,300.5,309.9,1466,53.2,172,9.399999999999977,8167.219365488409,76771.86203559085,77991.2,1.0312811980033276,9150.4,0
L,300.5,309.9,1503,37.4,175,9.399999999999977,5886.527818737339,55333.36149613085,56212.2,1.0312811980033276,6545.0,0
L,300.4,309.7,1488,35.7,177,9.300000000000011,5562.880943564519,51734.79277515009,53121.600000000006,1.0309587217043943,6318.900000000001,0
L,300.4,309.7,1314,50.2,179,9.300000000000011,6907.608263007093,64240.75684596605,65962.8,1.0309587217043943,8985.800000000001,0
M,300.4,309.7,1547,38.0,181,9.300000000000011,6156.055524464319,57251.31637751824,58786.0,1.0309587217043943,6878.0,0
M,300.4,309.7,1466,39.8,184,9.300000000000011,6110.062608015764,56823.58225454668,58346.799999999996,1.0309587217043943,7323.2,0
L,300.3,309.6,1537,37.1,187,9.300000000000011,5971.403180261824,55534.04957643503,57022.700000000004,1.030969030969031,6937.7,0
M,300.2,309.5,1434,51.5,189,9.300000000000011,7733.658635341994,71923.02530868063,73851.0,1.0309793471019322,9733.5,0
L,300.4,309.6,1432,44.7,192,9.200000000000045,6703.15341311147,61669.01140062583,64010.4,1.0306258322237019,8582.400000000001,0
L,300.5,309.6,1390,48.4,194,9.100000000000023,7045.1262454302305,64110.64883341526,67276.0,1.0302828618968387,9389.6,0
L,300.5,309.7,1580,42.8,196,9.199999999999989,7081.5687202118725,65150.432225949146,67624.0,1.0306156405990017,8388.8,0
L,300.5,309.7,1589,30.5,198,9.199999999999989,5075.190571996751,46691.753262370046,48464.5,1.0306156405990017,6039.0,0
L,300.5,309.8,1441,48.8,200,9.300000000000011,7363.976955818571,68484.98568911279,70320.8,1.0309484193011647,9760.0,0
L,300.5,309.8,1305,51.7,202,9.300000000000011,7065.284798290765,65707.1486241042,67468.5,1.0309484193011647,10443.400000000001,0
M,300.5,309.8,1566,35.9,204,9.300000000000011,5887.2818009742,54751.72074906013,56219.399999999994,1.0309484193011647,7323.599999999999,0
L,300.5,309.8,1379,54.2,207,9.300000000000011,7826.942993202587,72790.56983678415,74741.8,1.0309484193011647,11219.400000000001,1
L,300.4,309.6,1543,38.1,209,9.200000000000045,6156.296379901095,56637.926695090355,58788.3,1.0306258322237019,7962.900000000001,0
L,300.5,309.8,1421,49.6,211,9.300000000000011,7380.815892441812,68641.58779970894,70481.6,1.0309484193011647,10465.6,0
L,300.5,309.6,1760,30.6,213,9.100000000000023,5639.787131724397,51322.062898692144,53856.0,1.0302828618968387,6517.8,0
L,300.4,309.5,1711,29.2,215,9.100000000000023,5231.924629484345,47610.51412830766,49961.2,1.0302929427430094,6278.0,0
L,300.5,309.6,1465,41.6,217,9.100000000000023,6382.040756012545,58076.5708797143,60944.0,1.0302828618968387,9027.2,0
L,300.5,309.6,1366,50.2,219,9.100000000000023,7180.968711771453,65346.81527712038,68573.2,1.0302828618968387,10993.800000000001,0
M,300.4,309.5,1888,21.9,221,9.100000000000023,4329.868658883596,39401.80479584083,41347.2,1.0302929427430094,4839.9,0
L,300.5,309.5,1777,23.6,0,9.0,4391.653314404196,39524.879829637764,41937.200000000004,1.0299500831946755,0.0,0
L,300.5,309.5,1379,55.6,2,9.0,8029.114952436603,72262.03457192943,76672.40000000001,1.0299500831946755,111.2,0
L,300.4,309.5,1525,51.3,4,9.100000000000023,8192.488242398782,74551.6430058291,78232.5,1.0302929427430094,205.2,0
M,300.4,309.6,1563,34.0,6,9.200000000000045,5565.01722656896,51198.15848443468,53142.0,1.0306258322237019,204.0,0
M,300.5,309.7,1389,43.3,9,9.199999999999989,6298.233535990281,57943.74853111051,60143.7,1.0306156405990017,389.7,0
M,300.6,309.8,1447,42.9,12,9.199999999999989,6500.614934734535,59805.657399557655,62076.299999999996,1.0306054557551563,514.8,0
M,300.6,309.7,1934,22.8,15,9.099999999999966,4617.638545952422,42020.51076816688,44095.200000000004,1.0302727877578175,342.0,0
H,300.6,309.7,1470,43.8,18,9.099999999999966,6742.486153134413,61356.62399352293,64385.99999999999,1.0302727877578175,788.4,0
M,300.6,309.7,1428,42.6,23,9.099999999999966,6370.395919243239,57970.60286511326,60832.8,1.0302727877578175,979.8000000000001,0
L,300.4,309.6,1319,48.1,26,9.200000000000045,6643.829671836183,61123.23298089318,63443.9,1.0306258322237019,1250.6000000000001,0
L,300.5,309.7,1887,24.3,28,9.199999999999989,4801.830123232391,44176.83713373794,45854.1,1.0306156405990017,680.4,0
L,300.4,309.5,1349,50.4,30,9.100000000000023,7119.854262683619,64790.67379042109,67989.59999999999,1.0302929427430094,1512.0,0
M,300.3,309.5,1665,31.4,32,9.199999999999989,5474.853517410932,50368.65236018051,52281.0,1.0306360306360305,1004.8,0
L,300.3,309.5,1474,38.7,35,9.199999999999989,5973.612767094848,54957.23745727253,57043.8,1.0306360306360305,1354.5,0
L,300.4,309.5,1543,38.9,37,9.100000000000023,6285.5624456208025,57198.61825514944,60022.7,1.0302929427430094,1439.3,0
M,300.2,309.4,1459,43.9,39,9.199999999999989,6707.310787389721,61707.259243985354,64050.1,1.0306462358427715,1712.1,0
L,300.3,309.5,1551,37.9,42,9.199999999999989,6155.730893223447,56632.72421765565,58782.899999999994,1.0306360306360305,1591.8,0
L,300.2,309.4,1981,21.4,44,9.199999999999989,4439.426466689783,40842.72349354596,42393.399999999994,1.0306462358427715,941.5999999999999,0
L,300.2,309.4,1526,35.3,46,9.199999999999989,5641.0228248348085,51897.409988480176,53867.799999999996,1.0306462358427715,1623.8,0
M,300.2,309.4,1501,40.0,48,9.199999999999989,6287.374097384372,57843.84169593616,60040.0,1.0306462358427715,1920.0,0
L,300.2,309.4,1558,38.3,51,9.199999999999989,6248.774395647266,57488.72443995478,59671.399999999994,1.0306462358427715,1953.3,0
L,300.2,309.3,1532,43.2,53,9.100000000000023,6930.6047212313715,63068.50296320564,66182.40000000001,1.030313124583611,2289.6000000000004,0
L,300.1,309.2,1326,55.9,55,9.099999999999966,7762.184296636588,70635.87709939269,74123.4,1.0303232255914694,3074.5,0
L,300.2,309.2,1431,51.3,57,9.0,7687.50863926076,69187.57775334684,73410.3,1.0299800133244503,2924.1,0
L,300.2,309.3,1366,49.3,59,9.100000000000023,7052.226244827344,64175.25882792899,67343.8,1.030313124583611,2908.7,0
L,300.1,309.2,1421,42.5,61,9.099999999999966,6324.287811064053,57551.019080682665,60392.5,1.0303232255914694,2592.5,0
H,300.2,309.3,1506,35.6,63,9.100000000000023,5614.40306308339,51091.06787405898,53613.6,1.030313124583611,2242.8,0
H,300.2,309.3,1342,48.7,68,9.100000000000023,6844.001483747413,62280.41350210161,65355.4,1.030313124583611,3311.6000000000004,0
L,300.1,309.2,1427,37.6,73,9.099999999999966,5618.759404896369,51130.71058455677,53655.200000000004,1.0303232255914694,2744.8,0
L,300.2,309.2,1667,29.9,75,9.0,5219.578170355738,46976.20353320164,49843.299999999996,1.0299800133244503,2242.5,0
L,300.1,309.1,1400,46.7,77,9.0,6846.577589723356,61619.1983075102,65380.00000000001,1.0299900033322227,3595.9,0
L,300.0,309.0,1709,32.1,79,9.0,5744.810574133904,51703.295167205135,54858.9,1.03,2535.9,0
M,300.0,309.0,1368,45.8,81,9.0,6561.15342516921,59050.38082652289,62654.399999999994,1.03,3709.7999999999997,0
L,300.0,309.1,1882,23.8,84,9.100000000000023,4690.565383417752,42684.14498910165,44791.6,1.0303333333333333,1999.2,0
L,300.1,309.1,1353,58.7,86,9.0,8316.958143334012,74852.6232900061,79421.1,1.0299900033322227,5048.2,0
L,299.9,309.0,1553,40.0,88,9.100000000000023,6505.191188033265,59197.23981110285,62120.0,1.0303434478159388,3520.0,0
L,300.0,309.1,1431,45.4,90,9.100000000000023,6803.370218760984,61910.66899072511,64967.4,1.0303333333333333,4086.0,0
M,300.1,309.1,1731,30.4,92,9.0,5510.604841808784,49595.44357627905,52622.399999999994,1.0299900033322227,2796.7999999999997,0
M,300.1,309.2,1687,27.7,95,9.099999999999966,4893.5436847661895,44531.24753137216,46729.9,1.0303232255914694,2631.5,0
M,300.1,309.2,1457,44.3,98,9.099999999999966,6759.147066173952,61508.23830218273,64545.1,1.0303232255914694,4341.4,0
L,300.1,309.2,1533,37.0,101,9.099999999999966,5939.809230142221,54052.26399429401,56721.0,1.0303232255914694,3737.0,0
H,300.0,309.0,1622,31.8,103,9.0,5401.403081170003,48612.62773053003,51579.6,1.03,3275.4,0
L,300.0,309.1,1791,28.2,108,9.100000000000023,5288.99689602456,48129.871753823616,50506.2,1.0303333333333333,3045.6,0
L,300.0,309.1,1631,28.3,110,9.100000000000023,4833.581152984672,43985.58849216063,46157.3,1.0303333333333333,3113.0,0
L,300.0,309.0,2174,16.9,112,9.0,3847.4666349493714,34627.199714544346,36740.6,1.03,1892.7999999999997,0
L,300.1,309.0,1314,58.2,114,8.899999999999977,8008.422328824958,71274.95872654194,76474.8,1.0296567810729755,6634.8,0
L,300.1,309.1,1478,46.9,116,9.0,7258.984929335599,65330.864364020395,69318.2,1.0299900033322227,5440.4,0
L,300.1,309.2,1783,27.3,118,9.099999999999966,5097.328328229048,46385.68778688416,48675.9,1.0303232255914694,3221.4,0
M,300.1,309.2,1385,46.1,120,9.099999999999966,6686.1992847575975,60844.41349129391,63848.5,1.0303232255914694,5532.0,0
L,300.0,309.2,1444,43.6,123,9.199999999999989,6592.988230725588,60655.49172267534,62958.4,1.0306666666666666,5362.8,0
L,300.1,309.3,1841,23.0,125,9.199999999999989,4434.148591031754,40794.16703749209,42343.0,1.0306564478507163,2875.0,0
M,300.1,309.4,1349,56.2,127,9.299999999999955,7939.202570690863,73834.58390742466,75813.8,1.0309896701099632,7137.400000000001,0
L,300.1,309.3,1340,56.0,130,9.199999999999989,7858.1704241792695,72295.16790244919,75040.0,1.0306564478507163,7280.0,0
M,299.9,309.2,1539,43.2,132,9.300000000000011,6962.271975179556,64749.12936916995,66484.8,1.0310103367789263,5702.400000000001,0
M,300.0,309.3,1932,21.8,135,9.300000000000011,4410.544758227782,41018.06625151842,42117.6,1.0310000000000001,2943.0,0
M,300.0,309.3,1407,43.9,138,9.300000000000011,6468.25653040256,60154.78573274388,61767.299999999996,1.0310000000000001,6058.2,0
L,300.1,309.3,1712,28.5,141,9.199999999999989,5109.48629179844,47007.27388454559,48792.0,1.0306564478507163,4018.5,0
H,300.1,309.4,1329,55.2,143,9.299999999999955,7682.325011382336,71445.62260585537,73360.8,1.0309896701099632,7893.6,0
L,300.1,309.2,1441,42.9,148,9.099999999999966,6473.660069766735,58910.30663487707,61818.9,1.0303232255914694,6349.2,0
L,300.0,309.2,1610,32.1,150,9.199999999999989,5412.021664339136,49790.59931191999,51681.0,1.0306666666666666,4815.0,0
M,300.0,309.1,1474,45.2,152,9.100000000000023,6976.932740896309,63490.08794215657,66624.8,1.0303333333333333,6870.400000000001,0
M,300.0,309.1,1624,30.8,155,9.100000000000023,5237.998375281286,47665.78521505982,50019.200000000004,1.0303333333333333,4774.0,0
H,300.1,309.3,1520,38.2,158,9.199999999999989,6080.447861267926,55940.12032366485,58064.00000000001,1.0306564478507163,6035.6,0
H,300.1,309.3,1448,45.8,163,9.199999999999989,6944.846607927644,63892.58879293425,66318.4,1.0306564478507163,7465.4,0
L,300.0,309.3,1558,29.7,168,9.300000000000011,4845.655340749969,45064.594668974765,46272.6,1.0310000000000001,4989.599999999999,0
M,300.0,309.3,2293,16.3,170,9.300000000000011,3913.9950953768916,36400.15438700514,37375.9,1.0310000000000001,2771.0,0
L,300.0,309.3,1397,51.2,173,9.300000000000011,7490.227092590834,69659.11196109484,71526.40000000001,1.0310000000000001,8857.6,0
L,300.0,309.3,1972,22.0,175,9.300000000000011,4543.161856111319,42251.405261835316,43384.0,1.0310000000000001,3850.0,0
M,299.9,309.2,1574,36.5,177,9.300000000000011,6016.254651379573,55951.1682578301,57451.0,1.0310103367789263,6460.5,0
L,299.9,309.2,1560,38.9,180,9.300000000000011,6354.813619681433,59099.7666630374,60684.0,1.0310103367789263,7002.0,0
M,299.9,309.2,1353,49.8,182,9.300000000000011,7055.954268109603,65620.37469341939,67379.4,1.0310103367789263,9063.6,0
M,299.9,309.2,1389,51.2,185,9.300000000000011,7447.33388089382,69260.20509231261,71116.8,1.0310103367789263,9472.0,0
M,299.9,309.1,1513,43.8,188,9.200000000000045,6939.715339926781,63845.3811273267,66269.4,1.0306768922974325,8234.4,0
L,299.8,309.1,1578,42.1,191,9.300000000000011,6956.931267668453,64699.46078931669,66433.8,1.0310206804536357,8041.1,0
H,299.8,309.0,1467,37.3,193,9.199999999999989,5730.170752368174,52717.57092178714,54719.1,1.0306871247498333,7198.9,0
L,299.9,309.1,1412,48.3,198,9.200000000000045,7141.845411258748,65704.9777835808,68199.59999999999,1.0306768922974325,9563.4,0
L,299.8,309.1,1668,30.3,200,9.300000000000011,5292.578311649652,49220.978298341826,50540.4,1.0310206804536357,6060.0,0
M,299.8,309.2,1678,29.8,202,9.399999999999977,5236.448522905515,49222.61611531173,50004.4,1.0313542361574382,6019.6,0
L,299.8,309.1,1612,35.4,205,9.300000000000011,5975.811881952361,55575.05050215702,57064.799999999996,1.0310206804536357,7257.0,0
L,299.8,309.1,1485,39.9,207,9.300000000000011,6204.8025704725205,57704.66390539451,59251.5,1.0310206804536357,8259.3,0
M,299.8,309.1,1456,39.4,209,9.300000000000011,6007.3953600964505,55868.77684889706,57366.4,1.0310206804536357,8234.6,0
L,299.8,309.2,1504,38.7,212,9.399999999999977,6095.1924027887735,57294.808586214334,58204.8,1.0313542361574382,8204.400000000001,0
L,299.9,309.2,1491,44.3,214,9.300000000000011,6916.875961335184,64326.94644041729,66051.3,1.0310103367789263,9480.199999999999,0
H,299.9,309.2,1525,33.2,0,9.300000000000011,5301.961201708375,49308.239175887946,50630.00000000001,1.0310103367789263,0.0,0
L,300.0,309.2,1759,27.9,5,9.199999999999989,5139.237174227935,47280.98200289694,49076.1,1.0306666666666666,139.5,0
M,299.8,309.1,1355,56.7,7,9.300000000000011,8045.461706210781,74822.79386776035,76828.5,1.0310206804536357,396.90000000000003,0
M,299.9,309.1,1345,56.8,10,9.200000000000045,8000.170412121528,73601.56779151842,76396.0,1.0306768922974325,568.0,0
M,299.9,309.2,1683,30.5,13,9.300000000000011,5375.422109924815,49991.42562230084,51331.5,1.0310103367789263,396.5,0
L,299.9,309.2,1658,34.8,16,9.300000000000011,6042.162318796177,56192.109564804516,57698.399999999994,1.0310103367789263,556.8,0
L,300.0,309.2,1566,34.4,18,9.199999999999989,5641.29509619812,51899.914885022634,53870.399999999994,1.0306666666666666,619.1999999999999,0
M,300.1,309.3,1469,43.9,20,9.199999999999989,6753.282759887251,62130.20139096263,64489.1,1.0306564478507163,878.0,0
M,300.2,309.5,1458,46.9,23,9.300000000000011,7160.757799033358,66595.04753101032,68380.2,1.0309793471019322,1078.7,0
L,300.1,309.4,1858,23.6,26,9.299999999999955,4591.835598290938,42704.07106410551,43848.8,1.0309896701099632,613.6,0
H,300.1,309.4,1563,40.8,28,9.299999999999955,6678.020671882751,62105.59224850928,63770.399999999994,1.0309896701099632,1142.3999999999999,0
L,300.1,309.4,2141,17.9,33,9.299999999999955,4013.2694232303284,37323.40563604187,38323.899999999994,1.0309896701099632,590.6999999999999,0
L,300.0,309.3,1473,46.0,35,9.300000000000011,7095.6011673979065,65989.09085680061,67758.0,1.0310000000000001,1610.0,0
H,300.0,309.4,1498,38.5,37,9.399999999999977,6039.502437016138,56771.32290795156,57673.0,1.0313333333333332,1424.5,0
L,300.1,309.4,1568,39.7,42,9.299999999999955,6518.762868296773,60624.494675159694,62249.600000000006,1.0309896701099632,1667.4,0
L,300.1,309.4,1694,27.4,44,9.299999999999955,4860.630265732079,45203.86147130812,46415.6,1.0309896701099632,1205.6,0
L,300.0,309.4,1499,35.7,46,9.399999999999977,5604.00439140001,52677.641279159965,53514.3,1.0313333333333332,1642.2,0
L,300.0,309.5,1717,28.3,48,9.5,5088.4480929949,48340.256883451555,48591.1,1.0316666666666667,1358.4,0
M,300.1,309.5,1462,42.8,50,9.399999999999977,6552.692068955543,61595.30544818195,62573.6,1.0313228923692102,2140.0,0
L,300.1,309.6,1642,34.5,53,9.5,5932.269407773607,56356.55937384927,56649.0,1.031656114628457,1828.5,0
L,300.1,309.6,1760,25.4,55,9.5,4681.39193286927,44473.22336225807,44704.0,1.031656114628457,1397.0,0
L,300.1,309.5,1660,32.7,57,9.399999999999977,5684.397747405372,53433.338825610364,54282.00000000001,1.0313228923692102,1863.9,0
L,300.1,309.5,1557,40.6,59,9.399999999999977,6619.775544085197,62225.8901144007,63214.200000000004,1.0313228923692102,2395.4,0
H,300.2,309.6,1442,49.2,61,9.400000000000034,7429.489634621431,69837.20256544171,70946.40000000001,1.0313124583610926,3001.2000000000003,0
L,300.2,309.6,1359,51.5,66,9.400000000000034,7329.178581192307,68894.27866320794,69988.5,1.0313124583610926,3399.0,0
L,300.4,309.8,1342,52.5,68,9.400000000000034,7378.030346955628,69353.48526138316,70455.0,1.0312916111850867,3570.0,0
L,300.4,309.9,1435,54.8,70,9.5,8234.952103099806,78232.04497944815,78638.0,1.031624500665779,3836.0,0
L,300.4,309.9,1567,36.5,72,9.5,5989.498753946501,56900.23816249176,57195.5,1.031624500665779,2628.0,0
L,300.4,309.9,1376,43.5,74,9.5,6268.1056624423545,59547.00379320237,59856.0,1.031624500665779,3219.0,0
H,300.4,309.9,1513,38.7,76,9.5,6131.666293496951,58250.82978822103,58553.100000000006,1.031624500665779,2941.2000000000003,0
H,300.4,309.9,2563,12.8,81,9.5,3435.478174357607,32637.042656397265,32806.4,1.031624500665779,1036.8,1
L,300.5,310.0,1521,45.1,86,9.5,7183.471513918814,68242.97938222873,68597.1,1.0316139767054908,3878.6,0
L,300.6,310.0,1658,34.7,88,9.399999999999977,6024.799783397338,56633.117963934834,57532.600000000006,1.0312707917498336,3053.6000000000004,0
H,300.6,310.0,1419,42.4,90,9.399999999999977,6300.526898627401,59224.95284709743,60165.6,1.0312707917498336,3816.0,0
M,300.6,310.0,1478,36.3,95,9.399999999999977,5618.361469826913,52812.59781637286,53651.399999999994,1.0312707917498336,3448.4999999999995,0
M,300.5,310.0,1415,43.5,98,9.5,6445.762727002858,61234.74590652715,61552.5,1.0316139767054908,4263.0,0
M,300.5,309.9,1780,26.5,101,9.399999999999977,4939.630848994351,46432.52998054679,47170.0,1.0312811980033276,2676.5,0
M,300.4,309.7,1440,42.8,104,9.300000000000011,6454.087947534871,60023.01791207438,61631.99999999999,1.0309587217043943,4451.2,0
H,300.4,309.8,1448,39.7,107,9.400000000000034,6019.877954906714,56586.85277612332,57485.600000000006,1.0312916111850867,4247.900000000001,0
H,300.4,309.7,1500,35.2,112,9.300000000000011,5529.203070318036,51421.5885539578,52800.00000000001,1.0309587217043943,3942.4000000000005,0
L,300.4,309.8,1513,32.9,117,9.400000000000034,5212.708554419888,48999.46041154712,49777.7,1.0312916111850867,3849.2999999999997,0
L,300.5,309.8,1428,43.8,119,9.300000000000011,6549.843691616287,60913.54633203155,62546.399999999994,1.0309484193011647,5212.2,0
M,300.5,309.8,1473,42.3,121,9.300000000000011,6524.868030020249,60681.27267918838,62307.899999999994,1.0309484193011647,5118.299999999999,0
M,300.5,309.9,1483,49.3,124,9.399999999999977,7656.260264333052,71968.84648473051,73111.9,1.0312811980033276,6113.2,0
L,300.4,309.7,1534,42.5,127,9.300000000000011,6827.204435026219,63493.00124574391,65195.0,1.0309587217043943,5397.5,0
L,300.5,309.8,1367,54.0,129,9.300000000000011,7730.202883423045,71890.88681583441,73818.0,1.0309484193011647,6966.0,0
L,300.4,309.7,1467,36.9,131,9.300000000000011,5668.721200063958,52719.107160594875,54132.299999999996,1.0309587217043943,4833.9,0
M,300.4,309.7,1488,42.2,133,9.300000000000011,6575.730415081868,61154.29286026145,62793.600000000006,1.0309587217043943,5612.6,0
L,300.4,309.7,1679,30.1,136,9.300000000000011,5292.316512261854,49218.5435640353,50537.9,1.0309587217043943,4093.6000000000004,0
H,300.4,309.8,1409,47.5,138,9.400000000000034,7008.63141077103,65881.13526124792,66927.5,1.0312916111850867,6555.0,0
M,300.4,309.7,1367,51.2,143,9.300000000000011,7329.377548727036,68163.21120316151,69990.40000000001,1.0309587217043943,7321.6,0
L,300.4,309.8,1314,63.1,146,9.400000000000034,8682.6709441384,81617.10687490125,82913.40000000001,1.0312916111850867,9212.6,0
L,300.5,309.9,1480,40.0,148,9.399999999999977,6199.409503083859,58274.449328988136,59200.0,1.0312811980033276,5920.0,0
L,300.4,309.8,1549,38.9,150,9.400000000000034,6310.004036465731,59314.037942778086,60256.1,1.0312916111850867,5835.0,0
L,300.4,309.7,1685,31.3,152,9.300000000000011,5522.972244888416,51363.64187746233,52740.5,1.0309587217043943,4757.6,0
L,300.4,309.6,1536,34.5,154,9.200000000000045,5549.30926330101,51053.645222369545,52992.0,1.0306258322237019,5313.0,0
M,300.4,309.7,1539,37.7,156,9.300000000000011,6075.871607969196,56505.60595411359,58020.3,1.0309587217043943,5881.200000000001,0
L,300.4,309.7,1384,45.1,159,9.300000000000011,6536.439562960971,60788.8879355371,62418.4,1.0309587217043943,7170.900000000001,0
M,300.4,309.6,1614,30.3,161,9.200000000000045,5121.235848322865,47115.3698045706,48904.200000000004,1.0306258322237019,4878.3,0
M,300.4,309.6,1675,35.5,164,9.200000000000045,6226.898438802769,57287.46563698576,59462.5,1.0306258322237019,5822.0,0
M,300.4,309.7,1685,32.3,167,9.300000000000011,5699.425032265042,53004.652800064956,54425.49999999999,1.0309587217043943,5394.099999999999,0
L,300.4,309.6,1386,56.9,170,9.200000000000045,8258.555935903776,75978.71461031512,78863.4,1.0306258322237019,9673.0,0
M,300.3,309.6,1488,41.3,172,9.300000000000011,6435.489719025619,59850.054386938325,61454.399999999994,1.030969030969031,7103.599999999999,0
L,300.3,309.6,1624,32.6,175,9.300000000000011,5544.115163447075,51560.271020057866,52942.4,1.030969030969031,5705.0,0
